Student ID,Field of Study,Current Semester
165527,Computer Science,3
635763,Mechanical Engineering,2
740021,Civil Engineering,1
433076,Computer Science,1
441628,Chemical Engineering,1
837685,Mechanical Engineering,4
268329,Mechanical Engineering,1
260971,Electrical Engineering,2
851589,Chemical Engineering,1
880448,Mechanical Engineering,4
523477,Chemical Engineering,2
842097,Computer Science,4
599098,Civil Engineering,4
251033,Civil Engineering,2
346779,Computer Science,1
444197,Chemical Engineering,2
991828,Computer Science,2
743502,Electrical Engineering,3
439048,Chemical Engineering,3
312203,Civil Engineering,1
984048,Mechanical Engineering,3
751987,Computer Science,2
400958,Civil Engineering,4
930450,Mechanical Engineering,2
795079,Computer Science,1
328657,Mechanical Engineering,1
617245,Civil Engineering,2
895696,Civil Engineering,4
989259,Civil Engineering,2
804268,Computer Science,2
573813,Electrical Engineering,2
302083,Mechanical Engineering,4
979183,Computer Science,2
480400,Chemical Engineering,2
824237,Electrical Engineering,4
621030,Computer Science,2
225387,Electrical Engineering,3
560688,Mechanical Engineering,1
200648,Mechanical Engineering,2
747561,Mechanical Engineering,4
955244,Civil Engineering,2
194606,Computer Science,1
868885,Computer Science,4
923936,Computer Science,2
923805,Electrical Engineering,3
286004,Computer Science,1
109669,Mechanical Engineering,2
667391,Electrical Engineering,1
117375,Mechanical Engineering,2
550200,Mechanical Engineering,3
277997,Electrical Engineering,3
837116,Mechanical Engineering,2
528156,Mechanical Engineering,1
986610,Electrical Engineering,2
936952,Computer Science,1
889763,Chemical Engineering,4
202479,Electrical Engineering,2
964838,Chemical Engineering,1
300392,Computer Science,1
723050,Mechanical Engineering,3
517825,Chemical Engineering,3
532575,Chemical Engineering,4
269809,Chemical Engineering,4
116204,Electrical Engineering,1
187256,Mechanical Engineering,4
461713,Mechanical Engineering,4
247251,Civil Engineering,3
684862,Computer Science,4
236252,Mechanical Engineering,2
703371,Civil Engineering,1
675405,Civil Engineering,3
904034,Computer Science,3
849690,Electrical Engineering,4
407743,Electrical Engineering,1
551137,Mechanical Engineering,2
486371,Civil Engineering,1
589765,Computer Science,2
214810,Mechanical Engineering,1
206184,Electrical Engineering,3
981852,Civil Engineering,1
732768,Chemical Engineering,2
903389,Civil Engineering,2
586293,Electrical Engineering,4
132339,Mechanical Engineering,2
779707,Electrical Engineering,3
374078,Electrical Engineering,4
498961,Electrical Engineering,1
351672,Electrical Engineering,2
572842,Electrical Engineering,2
417941,Computer Science,3
130234,Computer Science,4
319133,Mechanical Engineering,2
707565,Civil Engineering,3
560365,Mechanical Engineering,2
559001,Mechanical Engineering,1
202956,Civil Engineering,4
683417,Electrical Engineering,4
329436,Electrical Engineering,2
175295,Mechanical Engineering,4
163299,Chemical Engineering,1
813512,Mechanical Engineering,1
609076,Electrical Engineering,1
437537,Electrical Engineering,4
544867,Computer Science,3
940064,Civil Engineering,1
535146,Mechanical Engineering,3
309247,Mechanical Engineering,3
226754,Mechanical Engineering,3
597959,Civil Engineering,4
126123,Electrical Engineering,1
329738,Civil Engineering,4
933656,Civil Engineering,3
356108,Computer Science,3
191258,Civil Engineering,4
559648,Civil Engineering,3
693544,Mechanical Engineering,2
244481,Chemical Engineering,3
724211,Mechanical Engineering,4
831117,Mechanical Engineering,1
755875,Civil Engineering,3
562125,Civil Engineering,2
695800,Electrical Engineering,4
389056,Chemical Engineering,4
293237,Civil Engineering,3
953845,Electrical Engineering,2
165543,Computer Science,1
333585,Electrical Engineering,3
737952,Computer Science,1
748986,Computer Science,4
904139,Chemical Engineering,3
485030,Chemical Engineering,1
902941,Mechanical Engineering,4
582199,Mechanical Engineering,3
352057,Computer Science,1
119093,Mechanical Engineering,1
205515,Computer Science,3
334135,Mechanical Engineering,1
134426,Mechanical Engineering,4
785228,Computer Science,3
