Student ID,Fees,Discount on Fees
165527,155152,19572
635763,157870,14760
740021,55662,5871
433076,134955,17284
441628,125934,14871
837685,131633,7565
268329,52994,5231
260971,125632,18721
851589,89571,16943
880448,61165,5748
523477,173071,21942
842097,113468,597
599098,80912,5062
251033,189481,34281
346779,105783,15191
444197,60951,9842
991828,75030,7811
743502,68083,917
439048,88470,292
312203,183430,32837
984048,158144,14576
751987,64523,7277
400958,152798,19868
930450,54367,1964
795079,79395,10364
328657,87936,2612
617245,63531,7637
895696,116656,4135
989259,135043,993
804268,176127,450
573813,173082,31325
302083,64782,8204
979183,97872,13789
480400,108563,16562
824237,178909,28009
621030,161933,26643
225387,65619,6875
560688,165365,2584
200648,194644,36082
747561,185572,6769
955244,150780,14529
194606,121670,17803
868885,100014,9066
923936,186289,26356
923805,131269,24309
286004,150567,21517
109669,95280,5386
667391,181507,6319
117375,170321,21958
550200,148260,21733
277997,192794,35652
837116,178977,22273
528156,177392,13752
986610,186918,23355
936952,119443,22862
889763,72305,10818
202479,165786,27411
964838,169656,33081
300392,156764,24564
723050,147764,18304
517825,164829,16119
532575,55523,7026
269809,73893,9203
116204,187204,4370
187256,111696,2284
461713,64793,5542
247251,81474,7096
684862,77197,7788
236252,98094,12324
703371,130261,19390
675405,194593,30989
904034,62735,6607
849690,68559,11257
407743,184940,30388
551137,93808,17884
486371,141887,14286
589765,87653,6837
214810,122676,19852
206184,76174,584
981852,132474,4648
732768,152327,4830
903389,190435,21882
586293,80866,13009
132339,90766,11399
779707,183139,31916
374078,175953,19218
498961,166502,1144
351672,191413,9679
572842,114939,19362
417941,152066,28834
130234,119955,11301
319133,78001,14509
707565,181782,11498
560365,53384,8379
559001,164089,24697
202956,59621,964
683417,141910,2701
329436,196478,28649
175295,115634,14197
163299,87184,3845
813512,95306,7395
609076,184087,3535
437537,131320,18236
544867,158813,19278
940064,152727,14556
535146,67158,4240
309247,154492,16452
226754,74038,3288
597959,73700,3236
126123,187034,24629
329738,107927,18638
933656,90229,14428
356108,108025,13968
191258,196373,15108
559648,106009,6296
693544,117619,10142
244481,184532,24973
724211,160531,24964
831117,113375,12479
755875,59210,9485
562125,187935,1726
695800,93944,11133
389056,132700,7523
293237,168105,6393
953845,121175,13251
165543,183000,35326
333585,153885,5169
737952,131074,17686
748986,132690,21447
904139,98130,6189
485030,81007,10556
902941,61082,8746
582199,154687,21894
352057,144556,25990
119093,100243,3168
205515,107105,6254
334135,123645,1041
134426,111711,2374
785228,85212,5551
744312,138792,20036
148258,123547,3619
652290,117541,9048
983310,181959,34852
382938,104607,1304
892339,124057,19767
314250,73283,11276
797817,173529,8011
829690,179263,22436
